name,team,player_avg,performance_comparing_team,performance_comparing_whole
James Harden,Rockets,36.1,316.88514357053697,328.3869943049038
Paul George,Thunder,28.0,255.5213543670641,232.26692079050707
Giannis Antetokounmpo,Bucks,27.7,207.87551603683713,228.70691806775164
Joel Embiid,76ers,27.5,203.86740331491723,226.33358291924802
LeBron James,Lakers,27.4,217.2090112640801,225.1469153449962
Stephen Curry,Warriors,27.3,205.22854324235453,223.9602477707444
Devin Booker,Suns,26.6,199.26068788171017,215.65357475098176
Kawhi Leonard,Raptors,26.6,202.59509420547465,215.65357475098176
Kevin Durant,Warriors,26.0,190.69385070700432,208.53356930547085
Anthony Davis,Pelicans,25.9,198.81509198627998,207.34690173121902
Damian Lillard,Trail Blazers,25.8,192.64544456641062,206.16023415696722
Bradley Beal,Wizards,25.6,181.88188188188187,203.7868990084636
Kemba Walker,Hornets,25.6,208.76197233061373,203.7868990084636
Blake Griffin,Pistons,24.5,226.4248704663212,190.73355569169368
Karl Anthony Towns,Timberwolves,24.4,177.55102040816325,189.54688811744185
Donovan Mitchell,Jazz,23.8,218.9873417721518,182.42688267193103
Kyrie Irving,Celtics,23.8,183.42705921270272,182.42688267193103
Zach LaVine,Bulls,23.7,181.2129202373104,181.2402150976792
Russell Westbrook,Thunder,22.9,190.7656791073489,171.74687450366469
Klay Thompson,Warriors,21.5,140.38145346925356,155.13352846413935
Julius Randle,Pelicans,21.4,146.89741191144367,153.94686088988752
LaMarcus Aldridge,Spurs,21.3,177.04667176740622,152.76019331563572
Luka Doncic,Mavericks,21.2,192.1554770318021,151.5735257413839
Jrue Holiday,Pelicans,21.2,144.5899594636732,151.5735257413839
DeMar DeRozan,Spurs,21.2,175.74598316755922,151.5735257413839
Mike Conley,Grizzlies,21.1,146.35143023934623,150.38685816713212
D  Angelo Russell,Nets,21.1,134.2148220698662,150.38685816713212
CJ McCollum,Trail Blazers,21.0,138.1997804610319,149.20019059288032
Nikola Vucevic,Magic,20.8,160.55833929849678,146.8268554443767
John Wall,Wizards,20.7,127.92792792792791,145.64018787012486
Buddy Hield,Kings,20.7,148.85245901639337,145.64018787012486
Nikola Jokic,Nuggets,20.1,143.37606837606836,138.520182424614
Lou Williams,Clippers,20.0,109.72354623450906,137.33351485036218
Tobias Harris,76ers,20.0,120.9944751381216,137.33351485036218
Danilo Gallinari,Clippers,19.8,107.62631077216396,134.96017970185855
John Collins,Hawks,19.5,144.4690265486726,131.40017697910315
Trae Young,Hawks,19.1,139.45427728613575,126.65350668209592
Victor Oladipo,Pacers,18.8,138.75181422351247,123.09350395934047
Kyle Kuzma,Lakers,18.7,116.48936170212765,121.90683638508864
Lauri Markkanen,Bulls,18.7,121.8852999340804,121.90683638508864
Jimmy Butler,76ers,18.7,106.62983425414372,121.90683638508864
Brandon Ingram,Lakers,18.3,111.85857321652067,117.1601660880814
Khris Middleton,Bucks,18.3,103.39790409653861,117.1601660880814
Jamal Murray,Nuggets,18.2,120.37037037037032,115.97349851382957
Andrew Wiggins,Timberwolves,18.1,105.88825694212112,114.78683093957783
Tim Hardaway Jr.,Mavericks,18.1,149.43462897526504,114.78683093957783
Bojan Bogdanovic,Pacers,18.0,128.59216255442684,113.60016336532598
Derrick Rose,Timberwolves,18.0,104.75075276012045,113.60016336532598
T.J. Warren,Suns,18.0,102.50723240115724,113.60016336532598
Andre Drummond,Pistons,17.3,130.4959289415248,105.2934903455633
De Aaron Fox,Kings,17.3,107.97814207650269,105.2934903455633
Kevin Love,Cavaliers,17.0,101.83175033921299,101.73348762280784
RJ Hunter,Celtics,17.0,102.44789943764476,101.73348762280784
Pascal Siakam,Raptors,16.9,92.25026661926769,100.54682004855601
Jordan Clarkson,Cavaliers,16.8,99.4572591587517,99.36015247430426
Spencer Dinwiddie,Nets,16.8,86.48383937316359,99.36015247430426
Collin Sexton,Cavaliers,16.7,98.27001356852101,98.17348490005242
Montrezl Harrell,Clippers,16.6,74.07054337464251,96.98681732580063
Josh Richardson,Heat,16.6,98.11934900542497,96.98681732580063
Clint Capela,Rockets,16.6,91.6978776529339,96.98681732580063
Harrison Barnes,Kings,16.4,97.15846994535514,94.61348217729697
Deandre Ayton,Suns,16.3,83.38154934104796,93.4268146030452
Eric Gordon,Rockets,16.2,87.07865168539331,92.24014702879337
Aaron Gordon,Magic,16.0,100.42949176807446,89.86681188028976
Eric Bledsoe,Bucks,15.9,76.72276913305814,88.68014430603795
Rudy Gobert,Jazz,15.9,113.10498883097537,88.68014430603795
Jayson Tatum,Celtics,15.7,86.9665894806484,86.3068091575343
Jusuf Nurkic,Trail Blazers,15.6,76.94840834248082,85.12014158328252
Jonas Valanciunas,Grizzlies,15.6,82.1366024518389,85.12014158328252
Dennis Schroder,Thunder,15.5,96.80646402462479,83.9334740090307
Reggie Jackson,Pistons,15.4,105.18134715025904,82.7468064347789
Jeremy Lamb,Hornets,15.3,84.53352252571835,81.56013886052709
Evan Fournier,Magic,15.1,89.15533285612027,79.18680371202345
Dwyane Wade,Heat,15.0,79.0235081374322,78.00013613777163
Serge Ibaka,Raptors,15.0,70.63633131887667,78.00013613777163
Emmanuel Mudiay,Knicks,14.8,74.00067181726573,75.62680098926803
Jabari Parker,Wizards,14.5,59.659659659659646,72.06679826651259
Walt Lemon Jr.,Bulls,14.3,69.67699406723796,69.69346311800896
Domantas Sabonis,Pacers,14.1,79.06386066763433,67.32012796950535
Jaren Jackson Jr.,Grizzlies,13.8,61.12084063047287,63.76012524674992
Rudy Gay,Spurs,13.7,78.19433817903591,62.57345767249809
Joe Harris,Nets,13.7,52.073130917401244,62.57345767249809
Goran Dragic,Heat,13.7,63.508137432188065,62.57345767249809
Dennis Smith Jr.,Knicks,13.6,59.89250923748741,61.38679009824628
Taurean Prince,Hawks,13.5,69.24778761061951,60.20012252399447
Gary Harris,Nuggets,12.9,56.19658119658118,53.08011707848361
Kevin Knox II,Knicks,12.8,50.48706751763521,51.8934495042318
Ricky Rubio,Jazz,12.7,70.21593447505579,50.70678192998
Trey Burke,Mavericks,10.9,50.21201413427563,29.3467655934474
Cody Zeller,Hornets,10.1,21.81624689606243,19.8534249994329
